instance,plan,status,seconds,accepted_sales,profit,moving_time,accepted_orders,error,timestamp
S2_inst_01.txt,data/exp_instances/S2/plan/S2_inst_01_optimal_plan.txt,ok,5445.486,12478840,12452788,71640,799,,2026-05-14 20:19:04
S2_inst_02.txt,data/exp_instances/S2/plan/S2_inst_02_optimal_plan.txt,ok,5215.029,16222218,16020508,70650,795,,2026-05-14 20:15:13
S2_inst_03.txt,data/exp_instances/S2/plan/S2_inst_03_optimal_plan.txt,ok,5503.611,15046926,15046926,71190,800,,2026-05-14 20:20:02
S2_inst_04.txt,data/exp_instances/S2/plan/S2_inst_04_optimal_plan.txt,ok,3669.552,14355850,13627310,69120,776,,2026-05-14 19:49:28
S2_inst_05.txt,data/exp_instances/S2/plan/S2_inst_05_optimal_plan.txt,ok,5364.590,14364616,14364616,71550,800,,2026-05-14 20:17:43
S2_inst_06.txt,data/exp_instances/S2/plan/S2_inst_06_optimal_plan.txt,ok,7607.278,13576451,10076297,63720,720,,2026-05-14 20:55:05
S2_inst_07.txt,data/exp_instances/S2/plan/S2_inst_07_optimal_plan.txt,ok,5807.462,17260923,17243329,71460,799,,2026-05-14 20:25:06
S2_inst_08.txt,data/exp_instances/S2/plan/S2_inst_08_optimal_plan.txt,ok,5732.904,14392250,13310690,68850,774,,2026-05-14 20:23:51
S2_inst_09.txt,data/exp_instances/S2/plan/S2_inst_09_optimal_plan.txt,ok,5604.368,15663546,15499888,71100,797,,2026-05-14 20:21:42
S2_inst_10.txt,data/exp_instances/S2/plan/S2_inst_10_optimal_plan.txt,ok,5436.714,15088258,14992578,70290,799,,2026-05-14 20:18:55
S2_inst_11.txt,data/exp_instances/S2/plan/S2_inst_11_optimal_plan.txt,ok,6176.106,12721733,12450541,70380,790,,2026-05-14 20:31:14
S2_inst_12.txt,data/exp_instances/S2/plan/S2_inst_12_optimal_plan.txt,ok,5276.249,15055977,14808799,70470,794,,2026-05-14 20:16:14
S2_inst_13.txt,data/exp_instances/S2/plan/S2_inst_13_optimal_plan.txt,ok,5153.201,15852744,15833076,71460,799,,2026-05-14 20:14:11
S2_inst_14.txt,data/exp_instances/S2/plan/S2_inst_14_optimal_plan.txt,ok,5091.204,15221508,14373970,68580,769,,2026-05-14 20:13:09
S2_inst_15.txt,data/exp_instances/S2/plan/S2_inst_15_optimal_plan.txt,ok,4595.105,16504052,16259786,70740,792,,2026-05-14 20:04:53
S2_inst_16.txt,data/exp_instances/S2/plan/S2_inst_16_optimal_plan.txt,ok,5498.447,14887546,14887546,70650,800,,2026-05-14 20:19:57
S2_inst_17.txt,data/exp_instances/S2/plan/S2_inst_17_optimal_plan.txt,ok,5616.739,13758258,13758258,70830,800,,2026-05-14 20:21:55
S2_inst_18.txt,data/exp_instances/S2/plan/S2_inst_18_optimal_plan.txt,ok,5604.170,16977120,16956620,71550,799,,2026-05-14 20:21:42
S2_inst_19.txt,data/exp_instances/S2/plan/S2_inst_19_optimal_plan.txt,ok,5448.147,14953578,14953578,71550,800,,2026-05-14 20:19:06
S2_inst_20.txt,data/exp_instances/S2/plan/S2_inst_20_optimal_plan.txt,ok,5380.958,14900286,14900286,71100,800,,2026-05-14 20:17:59
S2_inst_21.txt,data/exp_instances/S2/plan/S2_inst_21_optimal_plan.txt,ok,5566.120,16682037,16640817,70830,799,,2026-05-14 20:21:04
S2_inst_22.txt,data/exp_instances/S2/plan/S2_inst_22_optimal_plan.txt,ok,5417.218,14356986,14138978,71010,795,,2026-05-14 20:18:35
S2_inst_23.txt,data/exp_instances/S2/plan/S2_inst_23_optimal_plan.txt,ok,4976.724,14833372,14815622,70830,798,,2026-05-14 20:11:15
S2_inst_24.txt,data/exp_instances/S2/plan/S2_inst_24_optimal_plan.txt,ok,5230.464,15906820,15799146,71010,795,,2026-05-14 20:15:29
S2_inst_25.txt,data/exp_instances/S2/plan/S2_inst_25_optimal_plan.txt,ok,5551.470,13030607,13030607,71460,800,,2026-05-14 20:20:50
S2_inst_26.txt,data/exp_instances/S2/plan/S2_inst_26_optimal_plan.txt,ok,5440.927,15568121,15568121,71280,800,,2026-05-14 20:18:59
S2_inst_27.txt,data/exp_instances/S2/plan/S2_inst_27_optimal_plan.txt,ok,5324.850,13084232,13043228,71010,798,,2026-05-14 20:17:03
S2_inst_28.txt,data/exp_instances/S2/plan/S2_inst_28_optimal_plan.txt,ok,5265.652,13785835,13757393,70920,798,,2026-05-14 20:16:04
S2_inst_29.txt,data/exp_instances/S2/plan/S2_inst_29_optimal_plan.txt,ok,4934.775,14069864,14017750,71100,798,,2026-05-14 20:10:33
S2_inst_30.txt,data/exp_instances/S2/plan/S2_inst_30_optimal_plan.txt,ok,4474.160,10474343,4093985,49320,559,,2026-05-14 20:02:52
