instance,plan,status,seconds,accepted_sales,profit,error,timestamp
data/exp_instances/S13/S13_inst_01.txt,data/exp_instances/S13/plan/S13_inst_01_optimal_plan.txt,ok,6.754,1276095,-668899,,2026-05-12 15:19:37
data/exp_instances/S13/S13_inst_02.txt,data/exp_instances/S13/plan/S13_inst_02_optimal_plan.txt,ok,6.741,1410399,527707,,2026-05-12 15:19:44
data/exp_instances/S13/S13_inst_03.txt,data/exp_instances/S13/plan/S13_inst_03_optimal_plan.txt,ok,7.330,1077506,-50756,,2026-05-12 15:20:45
data/exp_instances/S13/S13_inst_04.txt,data/exp_instances/S13/plan/S13_inst_04_optimal_plan.txt,ok,6.795,763960,-1859256,,2026-05-12 15:20:52
data/exp_instances/S13/S13_inst_05.txt,data/exp_instances/S13/plan/S13_inst_05_optimal_plan.txt,ok,7.775,1405718,435280,,2026-05-12 15:21:48
data/exp_instances/S13/S13_inst_06.txt,data/exp_instances/S13/plan/S13_inst_06_optimal_plan.txt,ok,6.895,1684430,755894,,2026-05-12 15:21:55
data/exp_instances/S13/S13_inst_07.txt,data/exp_instances/S13/plan/S13_inst_07_optimal_plan.txt,ok,7.584,1149165,-261895,,2026-05-12 15:22:11
data/exp_instances/S13/S13_inst_08.txt,data/exp_instances/S13/plan/S13_inst_08_optimal_plan.txt,ok,7.398,911541,-930327,,2026-05-12 15:22:34
data/exp_instances/S13/S13_inst_09.txt,data/exp_instances/S13/plan/S13_inst_09_optimal_plan.txt,ok,7.226,877978,-1108110,,2026-05-12 15:23:03
data/exp_instances/S13/S13_inst_10.txt,data/exp_instances/S13/plan/S13_inst_10_optimal_plan.txt,ok,7.630,1196081,-59971,,2026-05-12 15:23:11
data/exp_instances/S13/S13_inst_11.txt,data/exp_instances/S13/plan/S13_inst_11_optimal_plan.txt,ok,6.865,1204180,36618,,2026-05-12 15:24:12
data/exp_instances/S13/S13_inst_12.txt,data/exp_instances/S13/plan/S13_inst_12_optimal_plan.txt,ok,8.206,787835,-1599885,,2026-05-12 15:24:34
data/exp_instances/S13/S13_inst_13.txt,data/exp_instances/S13/plan/S13_inst_13_optimal_plan.txt,ok,7.836,1648328,1027636,,2026-05-12 15:24:42
data/exp_instances/S13/S13_inst_14.txt,data/exp_instances/S13/plan/S13_inst_14_optimal_plan.txt,ok,9.434,1135020,-326494,,2026-05-12 15:25:18
data/exp_instances/S13/S13_inst_15.txt,data/exp_instances/S13/plan/S13_inst_15_optimal_plan.txt,ok,8.761,1016481,-574513,,2026-05-12 15:25:28
data/exp_instances/S13/S13_inst_16.txt,data/exp_instances/S13/plan/S13_inst_16_optimal_plan.txt,ok,7.423,1298433,227365,,2026-05-12 15:25:36
data/exp_instances/S13/S13_inst_17.txt,data/exp_instances/S13/plan/S13_inst_17_optimal_plan.txt,ok,7.797,1169727,108613,,2026-05-12 15:25:44
data/exp_instances/S13/S13_inst_18.txt,data/exp_instances/S13/plan/S13_inst_18_optimal_plan.txt,ok,7.401,1357848,606434,,2026-05-12 15:25:51
data/exp_instances/S13/S13_inst_19.txt,data/exp_instances/S13/plan/S13_inst_19_optimal_plan.txt,ok,7.616,1318868,231820,,2026-05-12 15:25:59
data/exp_instances/S13/S13_inst_20.txt,data/exp_instances/S13/plan/S13_inst_20_optimal_plan.txt,ok,7.353,950596,-969558,,2026-05-12 15:26:06
data/exp_instances/S13/S13_inst_21.txt,data/exp_instances/S13/plan/S13_inst_21_optimal_plan.txt,ok,6.606,937678,-1691946,,2026-05-12 15:26:13
data/exp_instances/S13/S13_inst_22.txt,data/exp_instances/S13/plan/S13_inst_22_optimal_plan.txt,ok,8.346,1249102,622444,,2026-05-12 15:26:21
data/exp_instances/S13/S13_inst_23.txt,data/exp_instances/S13/plan/S13_inst_23_optimal_plan.txt,ok,7.223,1328572,-76528,,2026-05-12 15:26:28
data/exp_instances/S13/S13_inst_24.txt,data/exp_instances/S13/plan/S13_inst_24_optimal_plan.txt,ok,7.233,954910,-674086,,2026-05-12 15:26:35
data/exp_instances/S13/S13_inst_25.txt,data/exp_instances/S13/plan/S13_inst_25_optimal_plan.txt,ok,7.037,1286015,407395,,2026-05-12 15:26:43
data/exp_instances/S13/S13_inst_26.txt,data/exp_instances/S13/plan/S13_inst_26_optimal_plan.txt,ok,4.978,324885,-2000641,,2026-05-12 15:26:48
data/exp_instances/S13/S13_inst_27.txt,data/exp_instances/S13/plan/S13_inst_27_optimal_plan.txt,ok,8.239,1165234,-79440,,2026-05-12 15:26:56
data/exp_instances/S13/S13_inst_28.txt,data/exp_instances/S13/plan/S13_inst_28_optimal_plan.txt,ok,7.302,1454774,471078,,2026-05-12 15:27:03
data/exp_instances/S13/S13_inst_29.txt,data/exp_instances/S13/plan/S13_inst_29_optimal_plan.txt,ok,8.387,1181040,186848,,2026-05-12 15:27:11
data/exp_instances/S13/S13_inst_30.txt,data/exp_instances/S13/plan/S13_inst_30_optimal_plan.txt,ok,6.501,805610,-547632,,2026-05-12 15:27:18
