instance,plan,status,seconds,accepted_sales,profit,error,timestamp
data/exp_instances/S1/S1_inst_01.txt,data/exp_instances/S1/plan/S1_inst_01_optimal_plan.txt,ok,7.613,2076945,2076945,,2026-05-12 14:59:24
data/exp_instances/S1/S1_inst_02.txt,data/exp_instances/S1/plan/S1_inst_02_optimal_plan.txt,ok,8.444,1968696,1968696,,2026-05-12 14:59:32
data/exp_instances/S1/S1_inst_03.txt,data/exp_instances/S1/plan/S1_inst_03_optimal_plan.txt,ok,7.348,1861859,1861859,,2026-05-12 14:59:40
data/exp_instances/S1/S1_inst_04.txt,data/exp_instances/S1/plan/S1_inst_04_optimal_plan.txt,ok,7.906,2355312,2325960,,2026-05-12 14:59:48
data/exp_instances/S1/S1_inst_05.txt,data/exp_instances/S1/plan/S1_inst_05_optimal_plan.txt,ok,7.985,1994277,1994277,,2026-05-12 14:59:56
data/exp_instances/S1/S1_inst_06.txt,data/exp_instances/S1/plan/S1_inst_06_optimal_plan.txt,ok,7.347,2177625,2177625,,2026-05-12 15:00:03
data/exp_instances/S1/S1_inst_07.txt,data/exp_instances/S1/plan/S1_inst_07_optimal_plan.txt,ok,5.968,1677512,1677512,,2026-05-12 15:00:09
data/exp_instances/S1/S1_inst_08.txt,data/exp_instances/S1/plan/S1_inst_08_optimal_plan.txt,ok,7.185,1870181,1870181,,2026-05-12 15:00:16
data/exp_instances/S1/S1_inst_09.txt,data/exp_instances/S1/plan/S1_inst_09_optimal_plan.txt,ok,6.803,1917196,1888696,,2026-05-12 15:00:23
data/exp_instances/S1/S1_inst_10.txt,data/exp_instances/S1/plan/S1_inst_10_optimal_plan.txt,ok,8.117,2133505,2100577,,2026-05-12 15:00:31
data/exp_instances/S1/S1_inst_11.txt,data/exp_instances/S1/plan/S1_inst_11_optimal_plan.txt,ok,12.612,2404882,2404882,,2026-05-12 15:02:48
data/exp_instances/S1/S1_inst_12.txt,data/exp_instances/S1/plan/S1_inst_12_optimal_plan.txt,ok,7.315,1646450,1646450,,2026-05-12 15:02:55
data/exp_instances/S1/S1_inst_13.txt,data/exp_instances/S1/plan/S1_inst_13_optimal_plan.txt,ok,8.493,1916262,1916262,,2026-05-12 15:03:04
data/exp_instances/S1/S1_inst_14.txt,data/exp_instances/S1/plan/S1_inst_14_optimal_plan.txt,ok,11.276,1817946,1800714,,2026-05-12 15:03:15
data/exp_instances/S1/S1_inst_15.txt,data/exp_instances/S1/plan/S1_inst_15_optimal_plan.txt,ok,8.390,1665629,1665629,,2026-05-12 15:03:23
data/exp_instances/S1/S1_inst_16.txt,data/exp_instances/S1/plan/S1_inst_16_optimal_plan.txt,ok,7.171,1544730,1538670,,2026-05-12 15:03:31
data/exp_instances/S1/S1_inst_17.txt,data/exp_instances/S1/plan/S1_inst_17_optimal_plan.txt,ok,6.177,2097523,2030859,,2026-05-12 15:03:37
data/exp_instances/S1/S1_inst_18.txt,data/exp_instances/S1/plan/S1_inst_18_optimal_plan.txt,ok,6.978,1658624,1658624,,2026-05-12 15:03:44
data/exp_instances/S1/S1_inst_19.txt,data/exp_instances/S1/plan/S1_inst_19_optimal_plan.txt,ok,6.768,2086238,2086238,,2026-05-12 15:03:50
data/exp_instances/S1/S1_inst_20.txt,data/exp_instances/S1/plan/S1_inst_20_optimal_plan.txt,ok,7.662,2121967,2121967,,2026-05-12 15:03:58
data/exp_instances/S1/S1_inst_21.txt,data/exp_instances/S1/plan/S1_inst_21_optimal_plan.txt,ok,7.694,1776933,1776933,,2026-05-12 15:04:06
data/exp_instances/S1/S1_inst_22.txt,data/exp_instances/S1/plan/S1_inst_22_optimal_plan.txt,ok,7.949,1913457,1913457,,2026-05-12 15:04:14
data/exp_instances/S1/S1_inst_23.txt,data/exp_instances/S1/plan/S1_inst_23_optimal_plan.txt,ok,5.764,2295943,2295943,,2026-05-12 15:04:19
data/exp_instances/S1/S1_inst_24.txt,data/exp_instances/S1/plan/S1_inst_24_optimal_plan.txt,ok,7.337,1768015,1768015,,2026-05-12 15:04:27
data/exp_instances/S1/S1_inst_25.txt,data/exp_instances/S1/plan/S1_inst_25_optimal_plan.txt,ok,6.834,2078029,2078029,,2026-05-12 15:04:34
data/exp_instances/S1/S1_inst_26.txt,data/exp_instances/S1/plan/S1_inst_26_optimal_plan.txt,ok,6.790,1865771,1865771,,2026-05-12 15:04:40
data/exp_instances/S1/S1_inst_27.txt,data/exp_instances/S1/plan/S1_inst_27_optimal_plan.txt,ok,5.895,2001250,1947130,,2026-05-12 15:04:46
data/exp_instances/S1/S1_inst_28.txt,data/exp_instances/S1/plan/S1_inst_28_optimal_plan.txt,ok,7.244,2160353,2080865,,2026-05-12 15:04:54
data/exp_instances/S1/S1_inst_29.txt,data/exp_instances/S1/plan/S1_inst_29_optimal_plan.txt,ok,6.617,2135355,2135355,,2026-05-12 15:05:00
data/exp_instances/S1/S1_inst_30.txt,data/exp_instances/S1/plan/S1_inst_30_optimal_plan.txt,ok,4.263,2344330,2293822,,2026-05-12 15:05:04
