Accepted sales revenue: 4244900
Profit with rejection compensation: 4244900
Accepted orders: 240 / 240
Moving time used: 21600 / 1000000

Assignments
Order ID,Car ID,Requested level,Car level,Upgrade,Pickup station,Return station,Pickup time,Return time,Revenue
1,15,6,6,no,50,72,2023/01/11 12:00,2023/01/12 16:00,23464
2,63,6,7,yes,98,59,2023/01/03 06:30,2023/01/05 06:30,40224
3,49,6,7,yes,69,34,2023/01/03 05:30,2023/01/04 00:30,15922
4,19,4,5,yes,55,84,2023/01/12 10:30,2023/01/14 02:30,23880
5,11,8,9,yes,62,20,2023/01/03 05:00,2023/01/05 05:00,47568
6,17,10,10,no,40,98,2023/01/01 18:00,2023/01/03 03:00,40029
7,3,2,3,yes,7,95,2023/01/13 19:30,2023/01/15 08:30,14985
8,14,6,6,no,56,87,2023/01/10 08:30,2023/01/11 23:30,32682
9,22,4,5,yes,91,57,2023/01/12 15:00,2023/01/13 03:00,7164
10,38,2,3,yes,39,79,2023/01/09 18:30,2023/01/10 02:30,3240
11,53,6,6,no,33,36,2023/01/04 12:30,2023/01/05 01:30,10894
12,7,9,9,no,52,85,2023/01/01 09:00,2023/01/02 03:00,20016
13,6,8,8,no,47,28,2023/01/04 07:00,2023/01/04 10:00,2973
14,26,3,3,no,92,36,2023/01/01 23:00,2023/01/03 10:00,16905
15,46,5,5,no,15,26,2023/01/04 16:30,2023/01/05 21:30,21402
16,12,9,9,no,1,21,2023/01/03 09:00,2023/01/04 04:00,21128
17,22,5,5,no,89,26,2023/01/10 12:00,2023/01/11 18:00,22140
18,71,8,9,yes,31,45,2023/01/06 09:00,2023/01/07 08:00,22793
19,23,3,4,yes,60,5,2023/01/10 20:30,2023/01/11 08:30,5796
20,66,3,4,yes,66,86,2023/01/06 22:00,2023/01/08 11:00,17871
21,55,4,4,no,29,79,2023/01/01 16:30,2023/01/02 17:30,14925
22,18,1,2,yes,45,33,2023/01/02 09:30,2023/01/03 00:30,4230
23,80,9,9,no,22,31,2023/01/11 08:00,2023/01/11 17:00,10008
24,18,2,2,no,80,41,2023/01/12 05:30,2023/01/12 15:30,4050
25,42,6,6,no,89,24,2023/01/03 11:30,2023/01/04 20:30,27654
26,36,2,3,yes,89,66,2023/01/12 06:00,2023/01/13 09:00,10935
27,41,1,1,no,47,90,2023/01/04 08:00,2023/01/05 10:00,7332
28,70,6,6,no,65,67,2023/01/08 23:30,2023/01/09 19:30,16760
29,46,5,5,no,51,99,2023/01/11 19:00,2023/01/13 08:00,27306
30,26,3,3,no,98,66,2023/01/10 23:30,2023/01/12 12:30,17871
31,2,3,3,no,7,25,2023/01/04 11:30,2023/01/04 20:30,4347
32,70,5,6,yes,69,45,2023/01/03 17:30,2023/01/04 12:30,14022
33,70,6,6,no,71,93,2023/01/13 09:30,2023/01/15 02:30,34358
34,75,9,10,yes,75,21,2023/01/11 19:30,2023/01/12 07:30,13344
35,42,6,6,no,4,10,2023/01/02 04:00,2023/01/03 02:00,18436
36,31,3,3,no,64,54,2023/01/08 12:00,2023/01/09 19:00,14973
37,64,3,4,yes,80,39,2023/01/09 16:00,2023/01/11 02:00,16422
38,37,5,5,no,48,25,2023/01/08 01:30,2023/01/08 14:30,9594
39,39,1,1,no,5,91,2023/01/10 06:00,2023/01/11 01:00,5358
40,18,2,2,no,53,52,2023/01/03 21:00,2023/01/04 06:00,3645
41,8,8,8,no,75,97,2023/01/09 08:30,2023/01/10 00:30,15856
42,80,9,9,no,30,82,2023/01/12 01:30,2023/01/12 09:30,8896
43,27,5,5,no,100,92,2023/01/10 18:00,2023/01/12 11:00,30258
44,56,9,10,yes,44,21,2023/01/03 19:00,2023/01/04 06:00,12232
45,45,2,2,no,29,26,2023/01/03 14:00,2023/01/04 14:00,9720
46,51,2,2,no,9,17,2023/01/08 15:00,2023/01/08 22:00,2835
47,27,5,5,no,14,1,2023/01/05 11:00,2023/01/06 23:00,26568
48,28,8,8,no,18,22,2023/01/09 08:30,2023/01/09 20:30,11892
49,59,1,2,yes,60,65,2023/01/05 08:00,2023/01/07 08:00,13536
50,2,3,3,no,12,54,2023/01/01 11:30,2023/01/02 22:30,16905
51,53,6,6,no,60,33,2023/01/10 22:30,2023/01/12 16:30,35196
52,43,9,9,no,25,54,2023/01/05 01:30,2023/01/05 15:30,15568
53,3,3,3,no,25,13,2023/01/06 06:00,2023/01/06 16:00,4830
54,72,7,7,no,34,91,2023/01/09 00:00,2023/01/10 12:00,31968
55,58,3,4,yes,63,72,2023/01/04 13:00,2023/01/06 05:00,19320
56,6,8,8,no,75,41,2023/01/07 22:30,2023/01/08 07:30,8919
57,15,6,6,no,13,66,2023/01/06 14:00,2023/01/06 20:00,5028
58,50,1,2,yes,1,17,2023/01/03 08:00,2023/01/04 10:00,7332
59,70,5,6,yes,18,24,2023/01/02 23:00,2023/01/03 05:00,4428
60,21,2,3,yes,10,50,2023/01/06 10:30,2023/01/07 23:30,14985
61,8,7,8,yes,51,10,2023/01/11 05:00,2023/01/13 02:00,39960
62,63,6,7,yes,32,93,2023/01/06 23:30,2023/01/08 03:30,23464
63,54,6,7,yes,85,31,2023/01/11 01:30,2023/01/11 19:30,15084
64,29,1,1,no,47,13,2023/01/06 03:30,2023/01/07 04:30,7050
65,60,2,3,yes,70,41,2023/01/05 02:00,2023/01/06 06:00,11340
66,59,1,2,yes,67,97,2023/01/01 13:30,2023/01/03 04:30,10998
67,75,10,10,no,48,88,2023/01/13 02:00,2023/01/14 08:00,36390
68,69,6,7,yes,12,19,2023/01/12 02:00,2023/01/13 06:00,23464
69,11,9,9,no,57,65,2023/01/08 10:00,2023/01/09 09:00,25576
70,45,1,2,yes,32,80,2023/01/13 12:00,2023/01/14 02:00,3948
71,79,1,1,no,71,48,2023/01/09 04:00,2023/01/09 22:00,5076
72,17,9,10,yes,4,33,2023/01/07 23:30,2023/01/08 04:30,5560
73,30,5,5,no,8,34,2023/01/11 18:00,2023/01/11 20:00,1476
74,51,2,2,no,96,34,2023/01/13 09:00,2023/01/13 14:00,2025
75,24,2,2,no,27,45,2023/01/03 09:30,2023/01/05 06:30,18225
76,75,10,10,no,4,71,2023/01/03 16:30,2023/01/04 20:30,33964
77,27,5,5,no,84,71,2023/01/03 05:30,2023/01/05 03:30,33948
78,54,7,7,no,60,74,2023/01/06 06:30,2023/01/07 18:30,31968
79,1,7,8,yes,37,10,2023/01/02 03:00,2023/01/04 00:00,39960
80,74,4,5,yes,71,54,2023/01/07 01:30,2023/01/08 08:30,18507
81,39,1,1,no,51,24,2023/01/06 07:00,2023/01/07 02:00,5358
82,72,7,7,no,60,37,2023/01/02 00:00,2023/01/03 19:00,38184
83,67,10,10,no,35,67,2023/01/13 01:00,2023/01/14 01:00,29112
84,58,4,4,no,69,94,2023/01/01 09:30,2023/01/02 02:30,10149
85,3,3,3,no,87,95,2023/01/02 10:00,2023/01/02 17:00,3381
86,15,6,6,no,58,97,2023/01/03 06:30,2023/01/04 08:30,21788
87,75,10,10,no,15,1,2023/01/10 03:00,2023/01/11 05:00,31538
88,56,10,10,no,14,1,2023/01/07 21:00,2023/01/09 04:00,37603
89,49,7,7,no,6,79,2023/01/13 00:30,2023/01/13 10:30,8880
90,57,7,7,no,73,55,2023/01/09 11:00,2023/01/09 13:00,1776
91,46,4,5,yes,34,91,2023/01/04 07:00,2023/01/04 09:00,1194
92,68,5,6,yes,37,37,2023/01/03 02:00,2023/01/04 04:00,19188
93,57,7,7,no,69,64,2023/01/12 07:00,2023/01/12 20:00,11544
94,28,8,8,no,19,88,2023/01/11 17:00,2023/01/13 07:00,37658
95,30,4,5,yes,77,83,2023/01/08 16:30,2023/01/09 03:30,6567
96,28,8,8,no,98,22,2023/01/01 23:00,2023/01/03 06:00,30721
97,44,8,9,yes,60,52,2023/01/10 18:30,2023/01/11 22:30,27748
98,76,8,8,no,52,61,2023/01/07 23:00,2023/01/09 16:00,40631
99,20,8,9,yes,13,74,2023/01/07 21:00,2023/01/09 08:00,34685
100,5,5,5,no,85,17,2023/01/08 15:00,2023/01/08 21:00,4428
101,7,8,9,yes,68,4,2023/01/05 01:30,2023/01/05 15:30,13874
102,30,4,5,yes,98,53,2023/01/13 10:00,2023/01/13 12:00,1194
103,43,8,9,yes,88,96,2023/01/01 16:00,2023/01/03 09:00,40631
104,35,3,4,yes,6,10,2023/01/07 00:30,2023/01/07 07:30,3381
105,64,4,4,no,45,94,2023/01/05 09:00,2023/01/05 20:00,6567
106,10,1,2,yes,73,70,2023/01/06 21:30,2023/01/07 12:30,4230
107,41,1,1,no,99,82,2023/01/10 19:30,2023/01/11 00:30,1410
108,8,7,8,yes,74,51,2023/01/08 02:30,2023/01/08 19:30,15096
109,33,7,7,no,23,36,2023/01/11 01:30,2023/01/11 15:30,12432
110,18,1,2,yes,75,38,2023/01/08 17:00,2023/01/09 22:00,8178
111,31,2,3,yes,72,26,2023/01/03 05:30,2023/01/04 08:30,10935
112,73,4,4,no,1,57,2023/01/10 02:30,2023/01/11 13:30,20895
113,9,6,6,no,25,59,2023/01/07 16:30,2023/01/08 02:30,8380
114,56,10,10,no,25,94,2023/01/01 06:30,2023/01/02 23:30,49733
115,9,6,6,no,66,90,2023/01/05 04:30,2023/01/05 15:30,9218
116,71,8,9,yes,3,92,2023/01/02 05:30,2023/01/04 02:30,44595
117,68,5,6,yes,17,27,2023/01/10 01:00,2023/01/11 03:00,19188
118,14,6,6,no,52,41,2023/01/02 20:30,2023/01/04 10:30,31844
119,45,1,2,yes,56,37,2023/01/11 00:00,2023/01/12 02:00,7332
120,28,7,8,yes,51,37,2023/01/04 19:30,2023/01/05 03:30,7104
121,42,6,6,no,79,21,2023/01/09 23:00,2023/01/11 20:00,37710
122,26,3,3,no,78,18,2023/01/07 13:00,2023/01/07 21:00,3864
123,30,4,5,yes,28,5,2023/01/05 04:30,2023/01/05 23:30,11343
124,8,8,8,no,52,53,2023/01/05 19:00,2023/01/07 16:00,44595
125,80,9,9,no,22,30,2023/01/12 23:30,2023/01/13 23:30,26688
126,31,2,3,yes,33,39,2023/01/12 15:00,2023/01/13 22:00,12555
127,18,1,2,yes,67,53,2023/01/06 03:00,2023/01/07 23:00,12408
128,68,6,6,no,38,72,2023/01/06 09:30,2023/01/07 06:30,17598
129,49,6,7,yes,8,13,2023/01/07 14:00,2023/01/09 03:00,31006
130,30,5,5,no,67,76,2023/01/10 17:30,2023/01/10 19:30,1476
